id,password,last_login,is_superuser,username,last_name,email,is_staff,is_active,date_joined,first_name
1,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,14:33.6,1,dell,,kushal.bhattarai23@gmail.com,1,1,39:43.5,
2,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,34:08.2,0,user2,,kushal.bhattarai23+user2@gmail.com,0,1,39:43.5,
3,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,00:43.6,0,user3,,kushal.bhattarai23+user3@gmail.com,0,1,39:43.5,
4,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,13:55.2,0,user4,,kushal.bhattarai23+user4@gmail.com,0,1,39:43.5,
5,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,34:04.0,0,user5,,kushal.bhattarai23+user5@gmail.com,0,1,39:43.5,
6,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,34:22.2,0,user6,,kushal.bhattarai23+user6@gmail.com,0,1,39:43.5,
7,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user7,,kushal.bhattarai23+user7@gmail.com,0,1,39:43.5,
8,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user8,,kushal.bhattarai23+user8@gmail.com,0,1,39:43.5,
9,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user9,,kushal.bhattarai23+user9@gmail.com,0,1,39:43.5,
10,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user10,,kushal.bhattarai23+user10@gmail.com,0,1,39:43.5,
11,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user11,,kushal.bhattarai23+user11@gmail.com,0,1,39:43.5,
12,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user12,,kushal.bhattarai23+user12@gmail.com,0,1,39:43.5,
13,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user13,,kushal.bhattarai23+user13@gmail.com,0,1,39:43.5,
14,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user14,,kushal.bhattarai23+user14@gmail.com,0,1,39:43.5,
15,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user15,,kushal.bhattarai23+user15@gmail.com,0,1,39:43.5,
16,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user16,,kushal.bhattarai23+user16@gmail.com,0,1,39:43.5,
17,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user17,,kushal.bhattarai23+user17@gmail.com,0,1,39:43.5,
18,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user18,,kushal.bhattarai23+user18@gmail.com,0,1,39:43.5,
19,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user19,,kushal.bhattarai23+user19@gmail.com,0,1,39:43.5,
20,pbkdf2_sha256$720000$TGoglVNG7FQaixFVGorlmy$ksL/Chi2qLDXfJMsNJWK4Je9vqf0J99EKUF4TQeFhQA=,40:19.7,0,user20,,kushal.bhattarai23+user20@gmail.com,0,1,39:43.5,
